Primary Campus,University,School Name,Course Name,Class Name,
,,,Master of Mathematics,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Science,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,Monash Business School,Global Executive MBA,February 2024 Intake (USD),1
,,,Global Executive MBA and Master of Business,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,Master of Accounting,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Advanced Finance,July 2024 Intake (2-Year Track) (USD),1
,,,Master of Applied Marketing,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Banking and Finance,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,,November 2023 Intake (USD),1
,,,,November 2024 Intake (USD),1
,,,Master of Business,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,,November 2023 Intake (USD),1
,,,,November 2024 Intake (USD),1
,,,Master of Business Analytics,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Business Information Systems,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Economics,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (2-Year Track) (USD),1
,,,Master of Global Business,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Management,July 2024 Intake (USD),1
,,,Master of Professional Accounting,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,Queensland University of Technology,Graduate School of Business,Master of Business - Applied Finance,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Business - Integrated Marketing Communication,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Business - International Business,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Business - Management,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Business - Marketing,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Business - Philanthropy and Nonprofit Studies,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Business - Professional Accounting,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Business Process Management,Fall 2024 Intake,1
,,School of Architecture and Built Environment,Master of Engineering Management/Master of Project Management,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Engineering/Master of Project Management,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,School of Civil and Environmental Engineering,Master of Professional Engineering (Civil & Construction),February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2023 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Professional Engineering (Civil),February 2024 Intake (USD),1
